peizheng.edu.cn (FQDN) --> mx_record --> mx.peizheng.edu.cn (FQDN)
peizheng.edu.cn (FQDN) --> ns_record --> dns1.peizheng.edu.cn (FQDN)
peizheng.edu.cn (FQDN) --> ns_record --> dns2.peizheng.edu.cn (FQDN)
i.peizheng.edu.cn (FQDN) --> cname_record --> xxb.peizheng.edu.cn (FQDN)
cas0.peizheng.edu.cn (FQDN) --> cname_record --> xxb.peizheng.edu.cn (FQDN)
zb.peizheng.edu.cn (FQDN) --> cname_record --> xxb.peizheng.edu.cn (FQDN)
qzjw.peizheng.edu.cn (FQDN) --> cname_record --> xxb.peizheng.edu.cn (FQDN)
pzxg.peizheng.edu.cn (FQDN) --> cname_record --> xxb.peizheng.edu.cn (FQDN)
wx.peizheng.edu.cn (FQDN) --> a_record --> 218.107.0.16 (IPAddress)
hoe.peizheng.edu.cn (FQDN) --> a_record --> 211.66.248.200 (IPAddress)
ecard.peizheng.edu.cn (FQDN) --> cname_record --> xxb.peizheng.edu.cn (FQDN)
portal0.peizheng.edu.cn (FQDN) --> cname_record --> xxb.peizheng.edu.cn (FQDN)
211.66.240.0/20 (Netblock) --> contains --> 211.66.248.200 (IPAddress)
218.107.0.0/20 (Netblock) --> contains --> 218.107.0.16 (IPAddress)
4538 (ASN) --> managed_by --> ERX-CERNET-BKB China Education and Research Network Center (RIROrganization)
4538 (ASN) --> announces --> 211.66.240.0/20 (Netblock)
17622 (ASN) --> managed_by --> CNCGROUP-GZ China Unicom Guangzhou network (RIROrganization)
17622 (ASN) --> announces --> 218.107.0.0/20 (Netblock)
mx.peizheng.edu.cn (FQDN) --> a_record --> 211.66.248.5 (IPAddress)
pzrs.peizheng.edu.cn (FQDN) --> cname_record --> xxb.peizheng.edu.cn (FQDN)
211.66.240.0/20 (Netblock) --> contains --> 211.66.248.5 (IPAddress)
